[HEADER]
Insulated box
Parallel heaters, 1x 5W, 1x 10W
K_p=3.0
K_i=5e-4

[DATA]
time	temperature	humidity	heater power
[s]	[±0.5 °C]	[±3 pct]	[±0.05 W]
0.0	24.32	48.7	5.340
1.0	24.32	48.7	5.340
2.0	24.32	48.6	5.344
3.0	24.32	48.6	5.340
4.0	24.32	48.6	5.340
5.0	24.32	48.6	5.340
6.0	24.32	48.6	5.340
7.0	24.32	48.6	5.344
8.0	24.31	48.6	5.344
9.0	24.31	48.6	5.344
10.0	24.31	48.6	5.344
11.0	24.31	48.6	5.344
12.0	24.31	48.6	5.344
13.0	24.31	48.6	5.344
14.0	24.32	48.7	5.344
15.0	24.32	48.7	5.344
16.0	24.32	48.7	5.344
17.0	24.33	48.7	5.340
18.0	24.33	48.8	5.344
19.0	24.34	48.8	5.344
20.0	24.34	48.8	5.340
21.0	24.34	48.8	5.344
22.0	24.34	48.8	5.340
23.0	24.35	48.8	5.340
24.0	24.35	48.8	5.344
25.0	24.35	48.8	5.328
26.0	24.36	48.9	5.344
27.0	24.37	48.9	5.340
28.1	24.37	49.0	5.328
29.1	24.38	49.0	5.328
30.1	24.39	49.0	5.332
31.1	24.39	49.0	5.344
32.1	24.40	49.0	5.332
33.1	24.40	49.0	5.332
34.1	24.41	49.1	5.328
35.1	24.42	49.1	5.328
36.1	24.43	49.2	5.332
37.1	24.45	49.2	5.328
38.1	24.46	49.2	5.328
39.1	24.47	49.2	5.332
40.1	24.48	49.2	5.328
41.1	24.50	49.2	5.332
42.1	24.51	49.3	5.332
43.1	24.52	49.3	5.332
44.1	24.54	49.3	5.328
45.1	24.55	49.3	5.332
46.1	24.57	49.4	5.328
47.1	24.59	49.4	5.328
48.1	24.60	49.5	5.332
49.1	24.62	49.5	5.328
50.1	24.64	49.5	5.328
51.1	24.65	49.5	5.332
52.1	24.68	49.6	5.332
53.1	24.70	49.6	5.332
54.1	24.72	49.6	5.328
55.1	24.74	49.6	5.332
56.1	24.76	49.8	5.328
57.1	24.78	49.8	5.328
58.1	24.80	49.8	5.332
59.1	24.82	49.8	5.332
60.1	24.85	49.9	5.328
61.1	24.87	49.9	5.332
62.1	24.89	49.9	5.332
63.1	24.91	49.9	5.328
64.1	24.93	50.0	5.332
65.1	24.96	50.0	5.328
66.1	24.99	50.1	5.332
67.1	25.01	50.1	5.328
68.1	25.04	50.1	5.332
69.1	25.06	50.1	5.328
70.1	25.09	50.2	5.332
71.1	25.11	50.2	5.332
72.1	25.14	50.2	5.328
73.1	25.16	50.2	5.328
74.1	25.19	50.3	5.328
75.1	25.21	50.3	5.332
76.1	25.24	50.3	5.328
77.1	25.26	50.3	5.316
78.1	25.29	50.4	5.328
79.1	25.31	50.4	5.328
80.1	25.34	50.4	5.332
81.1	25.36	50.4	5.332
82.2	25.39	50.5	5.332
83.2	25.41	50.5	5.332
84.2	25.44	50.5	5.316
85.2	25.47	50.5	5.328
86.2	25.50	50.6	5.328
87.2	25.52	50.6	5.320
88.2	25.55	50.7	5.328
89.2	25.58	50.7	5.332
90.2	25.60	50.7	5.320
91.2	25.63	50.7	5.316
92.2	25.66	50.8	5.328
93.2	25.68	50.8	5.320
94.2	25.71	50.8	5.316
95.2	25.75	50.8	5.320
96.2	25.77	50.8	5.320
97.2	25.80	50.8	5.320
98.2	25.83	50.9	5.316
99.2	25.86	50.9	5.320
100.2	25.88	50.9	5.320
101.2	25.91	50.9	5.320
102.2	25.94	51.0	5.316
103.2	25.97	51.0	5.320
104.2	26.00	51.0	5.316
105.2	26.03	51.0	5.316
106.2	26.06	51.0	5.316
107.2	26.09	51.0	5.320
108.2	26.12	51.1	5.320
109.2	26.14	51.1	5.320
110.2	26.17	51.1	5.320
111.2	26.20	51.1	5.320
112.2	26.23	51.2	5.316
113.2	26.26	51.2	5.320
114.2	26.29	51.3	5.316
115.2	26.32	51.3	5.316
116.2	26.34	51.2	5.320
117.2	26.37	51.2	5.316
118.2	26.40	51.3	5.320
119.2	26.43	51.3	5.320
120.2	26.46	51.3	5.316
121.2	26.48	51.3	5.320
122.2	26.52	51.4	5.316
123.2	26.54	51.4	5.316
124.2	26.57	51.4	5.316
125.2	26.60	51.4	5.320
126.2	26.63	51.4	5.316
127.2	26.66	51.4	5.316
128.2	26.69	51.5	5.320
129.2	26.72	51.5	5.316
130.2	26.75	51.5	5.316
131.2	26.78	51.5	5.320
132.2	26.81	51.6	5.320
133.2	26.84	51.6	5.320
134.2	26.86	51.6	5.320
135.2	26.89	51.6	5.316
136.2	26.92	51.6	5.316
137.2	26.95	51.6	5.316
138.2	26.98	51.6	5.320
139.2	27.00	51.6	5.320
140.2	27.04	51.7	5.316
141.2	27.06	51.7	5.316
142.2	27.09	51.7	5.320
143.2	27.11	51.7	5.316
144.3	27.14	51.7	5.316
145.2	27.17	51.7	5.320
146.3	27.20	51.7	5.316
147.3	27.22	51.7	5.320
148.3	27.25	51.7	5.316
149.3	27.28	51.7	5.316
150.3	27.31	51.8	5.320
151.3	27.33	51.8	5.320
152.3	27.36	51.8	5.320
153.3	27.39	51.8	5.320
154.3	27.41	51.8	5.320
155.3	27.44	51.8	5.320
156.3	27.46	51.8	5.320
157.3	27.49	51.8	5.316
158.3	27.52	51.8	5.316
159.3	27.54	51.8	5.316
160.3	27.57	51.9	5.320
161.3	27.59	51.9	5.320
162.3	27.63	52.0	5.316
163.3	27.65	52.0	5.320
164.3	27.68	51.9	5.316
165.3	27.71	51.9	5.320
166.3	27.74	52.0	5.316
167.3	27.77	52.0	5.320
168.3	27.79	51.9	5.316
169.3	27.82	51.9	5.316
170.3	27.85	52.0	5.320
171.3	27.87	52.0	5.320
172.3	27.90	52.0	5.320
173.3	27.93	52.0	5.320
174.3	27.95	52.0	5.316
175.3	27.98	52.0	5.316
176.3	28.01	52.0	5.320
177.3	28.03	52.0	5.320
178.3	28.06	52.0	5.320
179.3	28.09	52.0	5.316
180.3	28.11	52.0	5.320
181.3	28.14	52.0	5.316
182.3	28.17	52.1	5.316
183.3	28.19	52.1	5.320
184.3	28.22	52.0	5.316
185.3	28.24	52.0	5.320
186.3	28.27	52.1	5.316
187.3	28.29	52.1	5.320
188.3	28.31	52.1	5.320
189.3	28.34	52.1	5.316
190.3	28.36	52.1	5.320
191.3	28.38	52.1	5.316
192.3	28.41	52.1	5.316
193.3	28.43	52.1	5.320
194.3	28.46	52.1	5.320
195.3	28.48	52.1	5.320
196.3	28.50	52.1	5.316
197.3	28.53	52.1	5.320
198.3	28.55	52.1	5.316
199.3	28.57	52.1	5.316
200.3	28.60	52.2	5.316
201.3	28.63	52.2	5.320
202.4	28.65	52.2	5.320
203.3	28.67	52.2	5.316
204.4	28.70	52.2	5.316
205.4	28.72	52.2	5.320
206.4	28.75	52.2	5.308
207.4	28.77	52.2	5.320
208.4	28.80	52.2	5.320
209.4	28.82	52.2	5.320
210.4	28.85	52.2	5.316
211.4	28.87	52.2	5.304
212.4	28.89	52.2	5.320
213.4	28.91	52.2	5.316
214.4	28.93	52.2	5.308
215.4	28.96	52.2	5.316
216.4	28.98	52.3	5.320
217.4	29.01	52.3	5.320
218.4	29.04	52.2	5.316
219.4	29.06	52.2	5.320
220.4	29.08	52.2	5.316
221.4	29.10	52.2	5.304
222.4	29.13	52.2	5.316
223.4	29.15	52.2	5.320
224.4	29.17	52.2	5.320
225.4	29.19	52.2	5.320
226.4	29.22	52.3	5.316
227.4	29.24	52.3	5.316
228.4	29.27	52.3	5.316
229.4	29.29	52.3	5.316
230.4	29.31	52.2	5.320
231.4	29.33	52.2	5.316
232.4	29.35	52.3	5.308
233.4	29.37	52.3	5.320
234.4	29.40	52.3	5.308
235.4	29.43	52.3	5.316
236.4	29.45	52.3	5.304
237.4	29.47	52.3	5.308
238.4	29.49	52.2	5.304
239.4	29.51	52.2	5.316
240.4	29.54	52.3	5.320
241.4	29.56	52.3	5.316
242.4	29.58	52.3	5.308
243.4	29.60	52.3	5.308
244.4	29.62	52.3	5.316
245.4	29.64	52.3	5.308
246.4	29.66	52.3	5.320
247.4	29.69	52.3	5.308
248.4	29.71	52.3	5.316
249.4	29.73	52.3	5.316
250.4	29.75	52.2	5.320
251.4	29.76	52.2	5.304
252.4	29.79	52.3	5.304
253.4	29.81	52.3	5.308
254.4	29.83	52.3	5.320
255.4	29.84	52.3	5.320
256.4	29.87	52.3	5.316
257.4	29.89	52.3	5.308
258.5	29.91	52.3	5.304
259.5	29.94	52.3	5.316
260.5	29.96	52.3	5.304
261.5	29.98	52.3	5.316
262.5	30.00	52.3	5.320
263.5	30.02	52.3	5.308
